id,prompt,completion,score,reward
10,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I am so sorry to hear about the recent loss of your parent. I can relate, as my mother passed away just three weeks ago. It's a difficult time and a trying time. I want to express my sympathy and understanding. It may seem like a small thing, but in the coming weeks and months, I hope you will take some time to do some activities that make you happy. I know I need to take some time to just heal and rest. I'm going through an inventory of the important things in my life, in order to find my own ways to cope with the loss of her. The best advice is from Abraham Lincoln. He says, ""Everyone has abandoned him at one time or another, but no one can abandon you except you yourself."" I know you are experiencing some fear and anxiety, keep taking deep breaths and checking in with yourself to make sure you are remaining positive and committed to living. In the end, it will make you stronger. Please don't hesitate to reach out if you need to talk. I am here. I am here for you. My number is (insert number).",1,1.35174310207367
11,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I am sorry that you experienced this loss and are feeling sad. You are in my thoughts as you go through this difficult time. Know that you are not alone in your feelings and that it is normal to feel this way. You are not alone in your grief and I am here to support you and let you know that I am available to talk, should you feel like reaching out to me at all. I am here to listen. You have the rest of your life to be sad. Life is too short to spend living in the past. Think about this new knowledge and what actions you can take to move forward. It's never too late to be happy again!",4,2.71694612503052
12,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,I’m so sorry to hear that you have experienced a recent loss. I understand how difficult it can be and hope that you have been able to find peace during this difficult time. I am available if you ever want to talk about it. -R,3,3.51298093795776
13,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"There is no way to predict the future, nor is there a way to understand or know what is in store for our future. We can hope and be prepared for whatever might come our way, but uncertainty is one of the hardest parts of life. Everyone copes in their own way, and I'm sure this loss has impacted you in a way that is hard to explain. My deepest condolences to you and your family in this time of uncertainty. Please let me know if there is anything that I or any of my fellow teammates or staff can do to help during this difficult time.",5,1.65159034729004
14,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I’m so sorry to hear of the passing of a loved one. I can completely relate to your feelings, as losing someone you care about is one of life’s most difficult challenges. I can appreciate the feeling of not knowing how to process this experience. Let me assure you, that this difficult time will eventually pass, and you will feel much better. I encourage you to not try and solve this issue logically. It’s a natural instinct, but do not engage in ruminating about your feelings. Instead, focus on the emotions that you have remaining. Embrace them, and take one day at a time. I sincerely hope you find support in your journey.",2,2.33715558052063
15,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,I am so sorry to hear of your loss. I cannot imagine what you are going through. Loss is a common and normal part of life and is never easy. I am here if you ever want to talk.,5,5.19192028045654
16,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I’m so sorry to hear about your recent loss. I’m here to listen if you need to talk.I’m happy to say that my recent experience reminded me how important it is to go after the things I want in life. My family, friends, and colleagues encouraged me to follow my dreams. I’m making new plans and feel re-energized. I’m looking forward to taking risks and achieving goals. I want to tackle something new and take on challenges. I’m feeling inspired and hopeful about my future.",2,0.487486124038696
17,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I'm so sorry to hear about your recent loss. This is a very difficult time, and I'm here for you if you want to talk. If you are interested in something that may help you feel less alone, I would recommend checking out some resources that may help:1. The Perinatal Group has several forums on topics like these and would be a great place to connect with other people going through similar experiences. 2. If you need a more private space, you can search for a local mindfulness group. 3. Lastly, Amy Pouchette is a Psychologist and Counselor in Little Rock, Arkansas who offers this service on a sliding scale. I’ve seen her in person and really like how she puts things in terms of strengths and limitations when helping clients work through feelings, questions, and life changes. She offers phone, video chats, and in person counseling. If you are interested in scheduling an appointment with her, please feel free to reach out!",1,-0.307363837957382
18,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I’m so sorry to hear about your recent loss. I’m here to listen and offer support during this difficult time. I’m thinking of you as you process this experience.Please know that you’re not alone. If you need a moment to collect your thoughts, I’m here to listen.If you feel like sharing, I’m here to listen and offer support.If you’re looking for someone to talk to, feel free to reach out to friends and family. I’m here to listen, but I’m also interested in hearing what you need.I’m here for you.",3,2.39249777793884
19,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,I’m so sorry to hear of your recent loss. I was just thinking of you today and hoping you were feeling better. I’m here for you if you ever need to talk.,5,5.72611951828003
20,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I’m so sorry you’ve experienced a loss. It can be a very difficult time, and you are not alone. I want to help you feel better. What can I do? As you think about what I can do, please keep in mind it may not be appropriate for you to stay. You may need to think about who could help you best. You can reach out by calling our counseling office at XXX-XXXX, or emailing dana@XXXXXX.com. We’re here for you. I hope you will consider working with us. We have some open days in May, June, and July. If you would like to see how we work, let me know and we can arrange an informational visit. In the meantime, know you are in my thoughts.",2,-0.248324975371361
21,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I am so sorry to hear about the loss of your friend/parent/coach. I hope you have some support network around you and that you are feeling safe right now. Letting people know that you are struggling is hard, but it can help to know that you have others in your corner. We have all been there, and there is no right way to manage the feelings and emotions you are experiencing. It is okay to take the time you need to adjust and process this. I have been there too and I am here to lend a hand or listen to whatever you need. I am here and want to make sure you have someone to lean on. If I can help, please don’t hesitate to reach out. I look forward to our next class and hope you get a chance to talk and process with others.",1,1.68727076053619
22,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I'm so sorry that you experienced this loss. It is very difficult to lose someone close to us, but with time, I'm confident you will feel better. I will continue to pray for you.",5,5.35316944122314
23,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,"I’m sorry to hear that you are struggling with your recent loss. I can relate with how hard this must be, and how it’s difficult to adjust to a different normal. I’ve been there, and I know how hard it can be, so I want to express how much I’ve been thinking about you. I can imagine how overwhelming it must be to not be able to carry out certain activities, and to feel like you’re not in control of your emotions. It’s hard to know what you’re feeling, and it can be scary to not have an outlet to express those emotions. My goal is to validate your experience, provide you with resources on how to find meaning and how to cope, and provide you with a place you can go to find the support you need as you process your emotions and find new ways of coping.I’m here if you ever need to talk. My initial thought is to create a plan that will help you get back in control and feeling productive. My goal is to show you what I’ve been learning, and help you see how this will help you feel better. I will keep you in my thoughts and consider you in my prayers.",2,1.12786030769348
24,Someone expresses sadness due to a recent loss. Provide a response that offers comfort and support.,I’m so sorry to hear that you lost someone close to you. I know that the passing of a loved one can be very difficult. My thoughts are with you and I’m happy to provide whatever support I can during this time.I’m here for you. How can I help?- Send a card or other gesture of support.- Let me know when you need to talk or just need someone to listen.- Share your worries and what you are feeling. I’m a good listener and can help communicate what I’m thinking and feeling.- Share the details of the service or how you can remember this person.- Ask me how I am doing. We are in this together!Please know that you can reach out to me anytime. I am here for you.,3,3.71737170219421
0,Your friend tells you they failed an important exam. Offer words of encouragement and support.,"It’s okay to be disappointed. But, it’s important to remember that even though this might be a big setback, it doesn’t mean you should throw in the towel. Instead, try to think of this as an opportunity to learn and grow. There’s no set path for achieving one’s goals. So, try something new. Take a different route to the class. Go for a run and come up with a better study schedule. Taking action is the best way to move forward. As long as you keep learning from your mistake, you’ll be on the right track.",5,0.329271852970123
1,Your friend tells you they failed an important exam. Offer words of encouragement and support.,"It is completely normal to feel upset and frustrated after a failed exam. Exams are an important part of preparing for future opportunities in life.  Exams are also a measure of how well you are understanding and retaining the material. It is completely understandable to feel like you want to throw the book across the room in response to a failed exam.  You want to lash out and feel like you could have done better. Do not let a failed exam affect your overall confidence in your abilities. Instead, take this as an opportunity to reflect and ask yourself what you can do to improve for the next exam. I promise you are more than a grade away from obtaining the knowledge and skills needed to succeed in the class.",5,0.282890647649765
2,Your friend tells you they failed an important exam. Offer words of encouragement and support.,"I'm sorry you failed the exam, but it's probably for the best as now you can see how much work is required to excel in that topic. What next? How about exploring other courses that may be easier to grasp? You could also review the material for next time you're studying.",5,-1.02250814437866
5,Your partner is feeling stressed about their workload. Provide a response that shows empathy and offers reassurance.,"I can see how being busy could be stressful. It seems like there are only a few ways to manage stress. You can try to calm down, slow down, and be present in the here and now by breathing deeply and relaxing your body. You can also try to eliminate the cause of the stress by addressing the underlying problem. If your workload is too great, I recommend asking for help. If your workload is typical, I recommend taking a break and focusing on something fun. Lastly, you can distract yourself from the stress by engaging in a different task that does not stress you out. Doing one of these things should help reduce your stress levels.",5,1.66366517543793
6,Your partner is feeling stressed about their workload. Provide a response that shows empathy and offers reassurance.,It seems like you are feeling a lot of pressure from your workload. I can see how that would feel stressful. I am here for you if you would like to talk about how you are feeling. We can even schedule some time to work on a project or just relax together. I would like to help take some of this pressure off of you.,5,2.2103545665741
8,Your partner is feeling stressed about their workload. Provide a response that shows empathy and offers reassurance.,"I can totally understand how stressful this must be, and how it is taking a toll on you both physically and emotionally. I'm here for you, and I'm willing to do anything I can to help. How can I best support you both?-   Hire help to take on some of the load. While you can't do everything, you can both do some things better with some help. Is there anything specific you'd like me to hire help with?-   If moving some of the load off of you would help, that could alleviate some of the pressure. Is there something specific you'd like me to do that I haven't offered?-   Look at things you can do differently to make things more manageable. Is there a way you can better organize your workload? Do you have any processes you could change?-   Think about a mental model you can create to help organize your thinking. I know it can be easy to feel overwhelmed, but it helps to keep a clear perspective on what's really going on.-   Accept some of the things you can't control. This is a stressful situation you're in, and things do get busy. It can't always be a constant state of stress for",4,0.58577036857605
9,Your partner is feeling stressed about their workload. Provide a response that shows empathy and offers reassurance.,"I can understand how stressed out your partner feeling right now. I know how much hard work they have put in to get to where they are today and its important that they focus on what is in front of them. Its totally normal to be feeling frustrated but remember that they have your back and you can lean on them for support. If they need to take a step back from a project or if you see them dealing with burnout, let them know that you are available to help. They have a vision and they are a big part of making it a reality.",4,1.07947218418121
11,A family member is going through a difficult breakup. Offer words of comfort and understanding.,I'm so sorry you are going through a difficult time. I hope you know you can always talk to me about anything. You are in my thoughts and prayers.,4,0.0447954051196575
12,A family member is going through a difficult breakup. Offer words of comfort and understanding.,"I am so sorry you are going through a difficult breakup. breakups are hard, and I can imagine they make you feel lost and vulnerable, but I hope you know that you have support here, and I am here if you ever want to talk. The other side of losing someone special is finding peace again in knowing you have done all you can to hold on to them. I hope you know that you will feel anxious and out of sync for a bit, but you will start to feel a sense of peace and acceptance for what has happened. Know that the universe is providing you with a much needed clean slate and is placing new and amazing people in your life that will help you heal. Let go of the sadness and remember all the amazing memories you have shared with this person. I am so excited to see where this new journey will lead you!",4,-0.0515901297330856
13,A family member is going through a difficult breakup. Offer words of comfort and understanding.,"I'm so sorry you are going through this difficult time. I hope you will find comfort in knowing you are not alone, and you can seek out trusted family and friends for support and love. You can also seek guidance and strength through new hobbies or activities that interest you, such as yoga, meditation, or taking a nature walk. I'm here if you ever need to talk.",5,0.285936325788498
15,Your colleague shares that they are feeling overwhelmed. Provide a response that offers support and suggests ways to cope.,"I hear you. It can be hard to know how to best respond to a statement like this. I want to support you in any way that I can, but it can be difficult to know what helps or what might help. Here are some of the things I’ve found helpful in the past. If you think any of these might be helpful for you too, you can try them out or you can feel free to message me if you have any other questions. 1. Take a walk, get some fresh air, and just get away from your stressful environment for a while. You might even find it relaxing to just get out of your head for a little bit and decompress. 2. Dive into a good book. Books can be a great tool to help you de-stress, take your mind off of things for a bit, and even help you process your emotions. 3. Do a hard activity. If you’re not able to do something like a book or a walk, engaging in a hard physical activity can be a great way to just be physically active and out of your head. I hope some of these help. Let me know how things are going.",5,2.3687207698822
20,A close friend is dealing with the loss of a pet. Offer words of sympathy and support.,I am so sorry that you are going through such a difficult time. I hope you know that you have my support throughout this difficult time.,5,0.230062365531921
21,A close friend is dealing with the loss of a pet. Offer words of sympathy and support.,There are no words to properly express our condolences during this difficult time. Sending our thoughts and prayers that the friend finds peace.,3,-0.72277569770813
22,A close friend is dealing with the loss of a pet. Offer words of sympathy and support.,"It’s so heartbreaking to hear about your loss. pets are incredibly special to people and can’t fully be replaced. even in death, they provide continued comfort and support to their owners. my thoughts are with you as you find new ways to process your loss.",3,2.28031826019287
23,A close friend is dealing with the loss of a pet. Offer words of sympathy and support.,"I'm so sorry for your loss. Pets can be a great source of comfort and companionship, and they can also provide another layer of love in our lives.",5,1.47624492645264
24,A close friend is dealing with the loss of a pet. Offer words of sympathy and support.,"No words can heal the loss of a pet, but know that you are not alone in your feelings. I am so sorry for your loss.",5,1.84991335868835
26,A neighbor shares their worries about a financial struggle. Provide an empathetic response and offer help or resources.,"I’m so sorry to hear of this neighbor’s financial struggles. I’m here to offer support and resources if they’d like to discuss options.I’m available to discuss solutions around creating a budget, exploring financial aid options, and getting advice from a financial aid counselor. If they’d prefer to speak to someone who is not me, I can recommend a few resources to help them explore options.Please let me know if I can do anything else to support them.",4,2.35338568687439
27,A neighbor shares their worries about a financial struggle. Provide an empathetic response and offer help or resources.,"I understand how worrying this can be.  I recommend some of the following steps.  First, I would recommend sharing the information with your local bank or credit union.  They may be able to offer short term debt counseling or have more information about what steps to take next.  Second, you can reach out to free financial assistance by contacting local community organizations or the United States Department of Health and Human Services.  Lastly, I recommend connecting with a personal financial planner or CPA for long-term planning or seeking legal help if needed.",5,2.28601741790771
29,A neighbor shares their worries about a financial struggle. Provide an empathetic response and offer help or resources.,It is understandable that you are worried about your financial situation. I'm here to assure you that I'm here to help. I'd be happy to discuss any concerns you may have and help identify resources and steps to take to address them.,5,2.99577069282532
31,Your child is upset about a fight they had with a friend. Offer support and guidance on resolving conflict.,"There is a simple way to resolve conflict: discuss it constructively. When your child explains what happened and why they believe it was an unfair situation, you can then explain how you see things. Remember that your child may have felt left out or unfairly targeted, and you can help them to understand that their friends may have acted out of insecurity or mean-spiritedness. As you explain things, try to take an empathetic and neutral position, so that your child can hear what they have done wrong, but also that they feel your assurance that they are not wholly to blame. Finally, listen to what they have to say, and provide a fair compromise if one can be agreed. Above all, do not give in to any angry or aggressive displays, as this can only cause the child to feel that their view was not heard or respected, and this type of conflict cannot be resolved.",5,2.45042634010315
36,A co-worker is feeling discouraged about not receiving a promotion. Offer words of encouragement and express your belief in their abilities.,I've noticed you have been feeling discouraged about not receiving a promotion. I want to let you know that I believe in you and that I'm here if you ever want to talk.,5,5.4402494430542
38,A co-worker is feeling discouraged about not receiving a promotion. Offer words of encouragement and express your belief in their abilities.,I understand how disappointing it can be to not receive the promotion you feel you earned. I am confident you are fully capable of receiving this promotion given the opportunity. I hope you continue to show your value at work and are eventually rewarded for your efforts.,5,5.84044933319092
42,Your sibling is feeling lonely after moving to a new city. Offer words of comfort and suggest ways to meet new people.,"Know that you are never alone in feeling lonely. Loneliness is a very real feeling and can affect anyone. I was once in your shoes and know how hard it can be to make friends in a new city. Here are a couple of things you can try:- Join a running group! Running groups are a great way to meet other runners and form new friendships. Groups often host social events and meetings to help members get to know one another. - Check out different local activities. Many cities have organizations that help promote local events, such as art walks and concerts. Check out local listings online and see what fun things are happening in your city!I also recommend meetingup.com. This website has Groups for people of all ages and interests. You can join a group that meets up every week or just join the one that fits your interests. I hope you find a running group or event that you enjoy! Feel free to reach out to me if you'd like to talk more.",3,1.66010248661041
45,Your best friend is going through a setback in their career. Offer support and encouragement to bounce back.,"With confidence, your friend will come out on top. It will stand out as an encouraging moment, and you’ll both will be stronger for it.",3,0.43843412399292
46,Your best friend is going through a setback in their career. Offer support and encouragement to bounce back.,"I know this must be hard, but I’m here to support you through it. I hope you take the time to enjoy the good things in your life right now. It could be as simple as taking a walk, calling an old friend, or disconnecting from work for a while. Things will look brighter when you get back on track.",5,-0.453646898269653
48,Your best friend is going through a setback in their career. Offer support and encouragement to bounce back.,"It is always difficult when a dear friend is going through a setback in their career. But I truly believe that the best is always preceded by disappointment. As a friend, I want you to know that I am here for you, and ready to help in any way that I can. Please let me know if I can do anything to help.",5,1.68748867511749
51,A stranger shares their struggle with anxiety. Offer a supportive response and suggest resources or coping strategies.,"Anxiety can be a powerful force that can cause great suffering. If you feel you are struggling with anxiety, it is important to seek help. Many resources are available that provide advice and strategies on how to cope with anxiety. From meditation to exercise, there are many ways to manage anxiety. I hope this helps.",5,2.15188717842102
58,Your partner is feeling down about not achieving a personal goal. Offer words of understanding and motivation.,"I understand how disappointed you must feel, but I believe in you. You have always accomplished what you have set your mind to do in the past, and I know you can do this. I am here to support you however you need, and I will continue to believe in you.",5,3.09756708145142
60,Your friend is experiencing self-doubt about their artistic abilities. Provide a response that offers encouragement and believes in their talent.,"When you believe in someone, it makes them believe in themselves. I believe in you and your artistic abilities. I'm so proud of you for taking the time to do this large piece, and I know you can release that self-doubt and know that you are a powerful and unique person. Do what makes you happy and create!",3,2.33139538764954
68,A coworker is feeling overwhelmed with work-life balance. Offer a supportive response and suggest strategies to find equilibrium.,"There are many things you can do to stay focused and balanced, including:1. Set time aside in your day for rest and relaxation2. Prioritize what is most important to you3. Identify actions you can take to remove pressures and stay focused on what is important4. Seek support and build a team of professionals to help when needed5. Practice self careThe key is to be able to say ""no"" to other demands and activities to remain focused on what is important.",5,3.07777261734009
76,Someone expresses their fear of failure before an important event. Offer words of support and remind them of their strengths.,I hear you expressing your fear of failure and it breaks my heart to see you feeling this way. I’m here to tell you that you are amazing and you have so many strengths that you have not yet fully tapped into. I see you as someone who is brave and I believe in you. You will achieve this goal and you will shine.,5,1.92388916015625
77,Someone expresses their fear of failure before an important event. Offer words of support and remind them of their strengths.,It's ok to be nervous before an important event. It shows you care and are worried about how you will perform. I'm here to help and support you. You are an incredible person and have so many strengths that you can draw on. I'm excited to watch you shine on this occasion.,5,1.48798775672913
79,Someone expresses their fear of failure before an important event. Offer words of support and remind them of their strengths.,It's completely normal to be nervous before an event like an interview or public speaking. Everyone feels fear in these situations. What matters is how you respond to that fear. I encourage you to keep your head up and take small steps towards your goal. Remember your strengths and why you are so excited to be considered for this opportunity.,5,1.31092774868011
81,A relative is feeling anxious about attending a social gathering. Provide a response that offers comfort and strategies to manage social anxiety.,"There’s nothing to fear when you are feeling anxious. It is completely normal to feel anxious at new social situations. Here are some strategies to help you relax:1. Relax in your current situation – It can be easy to catastrophize about the whole event. If you feel comfortable now, then that is the most important thing.2. Prepare for the evening – Do a little research ahead of time to learn more about the event. This will help you feel more comfortable and ease your fears about how you will be received.3. Arrive early – This will give you time to prepare yourself. You can take a calming breath and put your thoughts in check.4. Don’t forget to smile – A shy and tense smile is far more intimidating than a big smile.These are some tips to help you relax. If you continue to feel anxious, then it’s OK to talk to a supportive friend or family member. Remember, it’s not the end of the world and there’s plenty of people to meet and connect with.",5,2.16852760314941
85,"Your friend opens up about their struggle with low self-esteem. Provide a response that offers empathy, support, and resources for building self-confidence.","I can relate. I've struggled with low self-esteem and work to foster a positive mindset. Here are some things that have worked for me.1. Slow down and pay attention to what you're telling yourself. I find that my mind has a lot of negative talk, so I've found a helpful strategy is to write down the negative thoughts as they pop into my head.2. Be proactive. Set small goals for yourself to build momentum. For example, I've decided to take a walk outside every day, even if it's just to the mailbox.3. Write a gratitude list. Every night I write down 5 things that I'm grateful for. This can be big things, like ""I'm grateful I woke up this morning"" or small things, like ""It's quiet right now and I can hear the birds.""4. Surround yourself with people who support you. I find that spending time with people who have a positive attitude helps me to see the good in myself.I'd be happy to talk more about this if you'd like. Just let me know.",5,3.03975129127502
86,"Your friend opens up about their struggle with low self-esteem. Provide a response that offers empathy, support, and resources for building self-confidence.","I’m so glad to hear that you’ve opened up about your low self-esteem. I’ve struggled with low self-esteem myself, so I really understand how difficult it can be to overcome. I want to encourage you to keep going! Here are a few things that have helped me develop feelings of self-worth:1. Reading: I find that it’s really helpful to read about people who are doing things that I’d like to be doing. Read up on entrepreneurs, athletes, artists, or anyone who’s goals you admire. Just reading about people who are living their dreams has been incredibly inspiring to me.2. Listening: I also really value hearing other people’s stories and struggles. Tuning in to what really matters to other people and validating their emotions has made such a difference for me. The right friendships can make all the difference!3. Practice: At this point, my feelings of self-worth have become really ingrained in me. I’ve started living by my own values, and I don’t think I could live any other way now. It’s worked out so well for me and I hope it works out for you too.Here are some resources that can",5,1.3306827545166
90,A colleague feels embarrassed after making a mistake at work. Offer words of understanding and encouragement to learn from the experience.,"I can understand how you might feel embarrassed after making a mistake at work. I want to help you understand that mistakes are a natural part of growth and learning, and that what matters is how you respond to them. It is possible to acknowledge your mistake without showing embarrassment or hostility. Can you try this approach next time you make a mistake, and see if it feels different?",5,1.83753776550293
91,A colleague feels embarrassed after making a mistake at work. Offer words of understanding and encouragement to learn from the experience.,I'm sorry you felt embarrassed after making a mistake at work. I hope you take this as an opportunity to learn and grow as a professional.,5,4.68166780471802
92,A colleague feels embarrassed after making a mistake at work. Offer words of understanding and encouragement to learn from the experience.,I'm sorry you felt embarrassed after making a mistake at work. It is very important to learn from mistakes so you can be better prepared for the future.,5,3.14370036125183
93,A colleague feels embarrassed after making a mistake at work. Offer words of understanding and encouragement to learn from the experience.,"It’s natural to feel embarrassed when we make a mistake. However, it’s important to remember that everyone makes mistakes, and even the best of us sometimes lose our focus and make a mistake. If we can learn from our mistakes, we can move forward feeling more confident in our abilities. I’d be happy to discuss how we can learn from this experience.",5,2.36592841148376
94,A colleague feels embarrassed after making a mistake at work. Offer words of understanding and encouragement to learn from the experience.,"It is natural to feel embarrassed when we make a mistake, but it is important to understand and learn from the experience. I encourage you to move past this incident and put it behind you.",5,2.56440210342407
96,Your partner shares their fear of public speaking. Offer a response that offers comfort and suggests techniques to manage anxiety.,"I hear you on feeling nervous about public speaking.  I've found that, by planning my speech, practicing in a dry-run format, and using a a delivery method like ""slop reading"", I'm able to feel more at ease.  With practice, public speaking will get easier.",5,0.783740997314453
101,Someone expresses their disappointment after receiving a rejection letter. Offer words of support and encouragement to keep pursuing their goals.,"No matter how many times you fall, you always have the opportunity to get back up. You can stay focused on your end goal and continue to dream big. When you receive a rejection letter, it’s natural to feel sad and upset, but remember that it’s not the end of the world. There are hundreds of other opportunities out there, so keep fighting and stay positive!",5,1.76876473426819
102,Someone expresses their disappointment after receiving a rejection letter. Offer words of support and encouragement to keep pursuing their goals.,"Regardless of how disheartening it may be, hearing a firm “no” is part of the process of achieving your goals. Remember, every “no” begins as a “maybe.” Do not lose hope, as someone may just be waiting to say “yes” to you. Go out there and make your dreams a reality by not giving up.",5,1.62848162651062
105,Your child is nervous about starting a new school. Provide a response that offers reassurance and advice on making new friends.,There are a number of ways to make new friends:o Find someone to sit with at luncho Go to a different class every day for the first weeko Ask a teacher for help finding people with similar interests,5,1.66453766822815
108,Your child is nervous about starting a new school. Provide a response that offers reassurance and advice on making new friends.,"New school can be scary but it’s natural for children to be a little hesitant at the beginning. To make a good first impression, be sure your child does their best to settle in and make friends at the start of the year.Encourage your child to take part in the usual childhood activities they enjoy (eg sports, music classes) in the weeks leading up to the start of term. This will help them feel at ease and will give them some familiar faces to begin with.At the start of the week, ask your child to bring a few of their favourite things from home to make them feel at home. This way, they’ll feel at ease at the start of each day and quickly become aware of their surroundings.When they are feeling settled, it’s good to try out new activities at school or with friends to help them get to know other children at the school. As long as it’s in moderation, it’s ok to try something new!",5,2.08569526672363
112,"Your friend is feeling guilty about something they did. Offer a response that shows empathy, supports their growth, and encourages making amends.","I'm really sorry that you're feeling like you messed up. I can imagine how difficult it must be to know that you let me down, and I want you to know that I believe you when you say you want to learn and improve. I also want you to know that I'm here for you if you ever need to talk, but not to worry- you're always my friend for no reason ever.",5,2.47819375991821
115,A coworker shares their stress about balancing work and caregiving responsibilities. Provide a response that shows understanding and suggests ways to find support.,"I'm so sorry you're feeling stressed about this. Caregiving can be really overwhelming and hard work. Here are some things you can do to take care of yourself and manage the situation:1. Make sure you are getting enough sleep and eating well to be healthy2. Take some time for yourself each day to do something for yourself, like reading a book or taking a walk.3. Make a plan to spend some time each day focusing on your caregiving responsibilities. Take a deep breath and just focus on what you need to do next4. Seek out support from colleagues or a trusted friend. You can even video chat with a friend, so you aren't having a face-to-face conversation while feeling overwhelmed5. If you need a break, you can share your concerns with your manager. They may be able to help you connect with resources to help you take some of the loadLet me know if you need anything else, and I'm here if you just want to talk.",5,4.58461761474609
118,A coworker shares their stress about balancing work and caregiving responsibilities. Provide a response that shows understanding and suggests ways to find support.,"I'm so sorry you're feeling stressed about your caregiving responsibilities. I can understand how difficult this is, and that you likely feel pulled in multiple directions. I have some suggestions to help manage the situation. It is important to remember that you're not alone in this, and you likely feel more frustrated because you're trying to meet two needs that are very important to you - that of being there for your loved one, and also being able to set aside time to work or spend time with friends and family. It can be difficult to balance these two equally important needs. I recommend talking with your loved one about what their needs are, so you know how to prioritize your own needs. For example, are you able to set aside specific times during the day to dedicate to caregiving tasks, or should those be spread throughout the day? I'm also available to talk if you want to chat about your situation, or brainstorm ideas on how to balance caregiving and work.",5,2.42538332939148
122,Your sibling is feeling overwhelmed by the pressure to succeed academically. Offer words of support and remind them of their personal abilities and growth.,"It can be easy to feel like you are battling against your sibling on certain subjects. However, it's important to remember of your unique strengths as well as your mutual heritage. As individuals, we each bring different aspects to the table and no one should feel pressured to measure up to another. As family, we can support one another by remembering of these truths. I'm here to remind you that you have a unique skill set and that you're personal growth is an example to many. Remember that you can and will outperform expectations.",5,0.328131496906281
123,Your sibling is feeling overwhelmed by the pressure to succeed academically. Offer words of support and remind them of their personal abilities and growth.,"No one can truly understand the pressures of success in school and the desire to do well above all else without experiencing those pressures themselves. I recognize that you may feel as though you are reaching a point of diminishing returns. You are doing all that you can and still not meeting the mark that is set before you. I encourage you to remember all of the great memories and how far you have come thus far, as well as your many capabilities that you have developed and honed throughout your childhood.",5,0.960778892040253
